2015-08-28 18:04:56 172.17.100.8 GET /Express/WebResource.axd d=PmbLNLNWNTukXyk_kP_7tfgJD8rztR9UAWklkn7G-ff9Wzh5B95fJPA78NYFaKsA5uwncVMcKgAdGlQ5anYgIGzCifQ1&t=635589255571259667 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/WebResource.axd d=u4W1WdJ-oHhGXglO20J5fjgnMDi8VRrc29G5rbfxVCPVrMr150HQgY2lh6aQmkHqBNrYL-qs6JHR3dxsXwJ_WN56F9U1&t=635589255571259667 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/WebResource.axd d=f1bJ-ZUkAOnYOKyuXlm6OQNnsReNbrmh0l16FaZTwL-uGXK6pFf35Vd6asx2hLD6DuBvUY3PkVCggIBsRvpZ-cAswBc1&t=635589255571259667 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /images/orderpagecvr/CVR-U/usweek/usweek-cvrop-default.jpg - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/images/inboxdollars.png - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 78
2015-08-28 18:04:56 172.17.100.8 GET /images/orderpagecvr/CVR-S/stone/stone-cvrop-default.jpg - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/images/2_dollar_badge.png - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/images/btnSubmit.gif - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/images/trustwaveLogo.gif - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/images/logo_alt-REDACTED.gif - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/includes/css/styles.css 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /images/orderpagecvr/CVR-E/everyray/everyray-cvrop-default.jpg - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /images/orderpagecvr/CVR-F/famfun/famfun-cvrop-default.jpg - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /images/orderpagecvr/CVR-F/field/field-cvrop-default.jpg - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /images/orderpagecvr/CVR-F/famcir/famcir-cvrop-default.jpg - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /images/orderpagecvr/CVR-S/self/self-cvrop-default.jpg - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /images/orderpagecvr/CVR-E/eatingnat/eatingnat-cvrop-default.jpg - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/images/magazinesBg.gif - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/includes/css/styles.css 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /images/orderpagecvr/CVR-S/shape/shape-cvrop-default.jpg - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /images/orderpagecvr/CVR-E/entrep/entrep-cvrop-default.jpg - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/images/hdrShippingInformation.gif - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/includes/css/styles.css 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/images/hdrBillingInformation_sm.gif - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/includes/css/styles.css 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /Express/images/hdrCheckoutInformation.gif - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/includes/css/styles.css 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /images/orderpagecvr/CVR-B/bethom/bethom-cvrop-default.jpg - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
2015-08-28 18:04:56 172.17.100.8 GET /images/orderpagecvr/CVR-P/popula/popula-cvrop-default.jpg - 443 - 65.32.208.135 Mozilla/5.0 (Linux; Android 4.4.4; XT1031 Build/KXB21.14-L1.57) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.133 Mobile Safari/537.36 https://REDACTED.com/Express/default.aspx?partnerId=INBOXDOLLARSSTSP00007&partnerOrderId=ibd21412613x1316931542&t==RzJoUWwremdyOFFHNDFrME1OdUE3U0hQaXFURWd0UEg= 200 0 0 0
