2015-08-28 18:04:23 172.17.100.8 POST /Express/default.aspx partnerid=MIAMIHERALDSTSP00001&t==RzJoUWwremdyOFJVMWgyL2EvajJ1ZGI2c3hMT0FPQ0k= 443 - 98.254.49.125 Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0) https://www.REDACTED.com/Express/default.aspx?partnerid=MIAMIHERALDSTSP00001&t==RzJoUWwremdyOFJVMWgyL2EvajJ1ZGI2c3hMT0FPQ0k= 302 0 0 1328
2015-08-28 18:04:24 172.17.100.8 GET /Express/confirmation.aspx partnerId=MIAMIHERALDSTSP00001 443 - 98.254.49.125 Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0) https://www.REDACTED.com/Express/default.aspx?partnerid=MIAMIHERALDSTSP00001&t==RzJoUWwremdyOFJVMWgyL2EvajJ1ZGI2c3hMT0FPQ0k= 200 0 0 109
2015-08-28 18:04:24 172.17.100.8 GET /Express/includes/js/iframe.parent.js - 443 - 98.254.49.125 Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0) https://www.REDACTED.com/Express/confirmation.aspx?partnerId=MIAMIHERALDSTSP00001 200 0 0 234
2015-08-28 18:04:24 172.17.100.8 GET /Express/includes/js/iframe.content.js - 443 - 98.254.49.125 Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0) https://www.REDACTED.com/Express/confirmation.aspx?partnerId=MIAMIHERALDSTSP00001 200 0 0 546
2015-08-28 18:04:24 172.17.100.8 GET /Express/images/logoSingleSearch.gif - 443 - 98.254.49.125 Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0) https://www.REDACTED.com/Express/confirmation.aspx?partnerId=MIAMIHERALDSTSP00001 200 0 0 468
2015-08-28 18:04:24 172.17.100.8 GET /express/REDACTEDBanner.html ifprso=https://www.REDACTED.com/Express/iframe_proxy.html 443 - 98.254.49.125 Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0) https://www.REDACTED.com/Express/confirmation.aspx?partnerId=MIAMIHERALDSTSP00001 200 0 0 31
2015-08-28 18:04:24 172.17.100.8 GET /Express/includes/css/styles.css - 443 - 98.254.49.125 Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0) https://www.REDACTED.com/express/REDACTEDBanner.html?ifprso=https://www.REDACTED.com/Express/iframe_proxy.html 200 0 0 0
2015-08-28 18:04:24 172.17.100.8 GET /Express/images/satisfactionGuaranteedBadge.gif - 443 - 98.254.49.125 Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0) https://www.REDACTED.com/Express/confirmation.aspx?partnerId=MIAMIHERALDSTSP00001 200 0 0 15
2015-08-28 18:04:24 172.17.100.8 GET /express/images/REDACTEDPromotion.jpg - 443 - 98.254.49.125 Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0) https://www.REDACTED.com/express/REDACTEDBanner.html?ifprso=https://www.REDACTED.com/Express/iframe_proxy.html 200 0 0 31
