2015-08-28 18:11:17 172.17.100.8 GET /templates/smartsub/redesign/images/topNavHelp.gif - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /templates/smartsub/redesign/images/topNavCustomerOn.gif - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /templates/smartsub/redesign/images/yourAccount.gif - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /templates/smartsub/redesign/images/cart.gif - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /templates/smartsub/redesign/images/signIn.gif - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /templates/smartsub/redesign/images/arrow.gif - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /templates/smartsub/redesign/images/footerDivider.gif - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /includes/colorbox/images/controls.png - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/includes/colorbox/colorbox.css 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /includes/colorbox/images/loading_background.png - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/includes/colorbox/colorbox.css 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /includes/colorbox/images/border.png - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/includes/colorbox/colorbox.css 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /includes/colorbox/images/overlay.png - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/includes/colorbox/colorbox.css 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /includes/colorbox/images/loading.gif - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/includes/colorbox/colorbox.css 200 0 0 0
2015-08-28 18:11:17 172.17.100.8 GET /favicon.png - 80 - 69.245.77.164 Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 http://www.REDACTED.com/corpinfo/customer_care 200 0 0 0
